/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,0x1d2f230,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,fopen,<< calendar.txt >>,<< w >>
/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,0x1d2f380,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,get_year
/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,0x1d304b0,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,get_day_code,year
/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,0x1d305b0,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,get_leap_year,year
/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,0x1d30760,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,print_calendar,fout,year,day_code,leap_year
/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,0x1d308d0,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,printf,<< Open up 'calendar.txt' to see your calendar...\n >>
/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,0x1d30a10,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,system,<< pause >>
/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,0x1d30d08,GLOBAL,get_year,printf,<< Enter a year:  >>
/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,0x1d30e80,GLOBAL,get_year,scanf,<< %d >>,UNOP
/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,0x1d324c0,GLOBAL,print_calendar,fprintf,fout,<<                    %d >>,year
/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,1,/home/labaccount/11-2-17/mlsa/IG/example/Calendar/Calendar.c,0x1d32838,GLOBAL,print_calendar,fprintf,fout,<< \n\nJanuary >>
