/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3ca4e40,GLOBAL,dist,sqrt,BINOP
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3ca57d0,GLOBAL,small_dist,dist,P[],P[]
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3ca60d0,GLOBAL,small_dist,dist,P[],P[]
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3ca6f58,GLOBAL,stripClosest,dist,strip[],strip[]
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3ca72a8,GLOBAL,stripClosest,dist,strip[],strip[]
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3ca79e0,GLOBAL,closestUtil,small_dist,Px,n
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3ca9160,GLOBAL,closestUtil,closestUtil,Px,Pyl,mid
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3ca9480,GLOBAL,closestUtil,closestUtil,BINOP,Pyr,BINOP
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3ca9a20,GLOBAL,closestUtil,min,dl,dr
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3caa5e0,GLOBAL,closestUtil,abs,BINOP
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3caac78,GLOBAL,closestUtil,min,d,0x3caab70
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3caab70,GLOBAL,closestUtil,stripClosest,strip,j,d
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3cab960,GLOBAL,closest,compareX,Px,n
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3cabb60,GLOBAL,closest,compareY,Py,n
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3cabd30,GLOBAL,closest,closestUtil,Px,Py,n
/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,1,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,0x3cacdb0,GLOBAL,/home/labaccount/11-2-17/mlsa/IG/example/ClosestPair/ClosestPair.cpp,closest,P,n
