0x1db0e00,GLOBAL,init,malloc
0x1db1040,GLOBAL,init,perror,<< malloc >>
0x1db1130,GLOBAL,init,exit,1
0x1db1860,GLOBAL,final,malloc,q.nodesize
0x1db1e90,GLOBAL,final,perror,<< malloc >>
0x1db1f50,GLOBAL,final,exit,1
0x1db20c0,GLOBAL,final,get,q,s
0x1db2200,GLOBAL,final,free,q
0x1db22c8,GLOBAL,final,free,s
0x1db26d8,GLOBAL,put,malloc
0x1db28b0,GLOBAL,put,perror,<< malloc >>
0x1db2970,GLOBAL,put,exit,1
0x1db2af0,GLOBAL,put,malloc,q.nodesize
0x1db2ce0,GLOBAL,put,perror,<< malloc >>
0x1db2da0,GLOBAL,put,exit,1
0x1db3060,GLOBAL,put,bcopy,s,r,q.nodesize
0x1db41f8,GLOBAL,get,free,p.value
0x1db42a8,GLOBAL,get,free,p
