0,GLOBAL,getlineE,_IO_getc,fd-19
1,GLOBAL,stringMerge,fclose,fd1-77
2,GLOBAL,stringMerge,fclose,fd2-78
3,GLOBAL,stringMerge,fclose,fd3-79
4,GLOBAL,stringMerge,fopen,filename1-38,<r>
5,GLOBAL,stringMerge,fopen,filename2-42,<r>
6,GLOBAL,stringMerge,fopen,filename3-46,<w>
7,GLOBAL,stringMerge,fprintf,undefined_num_of_arguments
8,GLOBAL,stringMerge,fprintf,undefined_num_of_arguments
9,GLOBAL,stringMerge,fprintf,undefined_num_of_arguments
10,GLOBAL,stringMerge,fprintf,undefined_num_of_arguments
11,GLOBAL,StringMerge.c,printf,undefined_num_of_arguments
12,GLOBAL,StringMerge.c,printf,undefined_num_of_arguments
13,GLOBAL,stringMerge,perror,<fopen>
14,GLOBAL,stringMerge,perror,<fopen>
15,GLOBAL,stringMerge,perror,<fopen>
16,GLOBAL,stringMerge,exit,<1>
17,GLOBAL,stringMerge,exit,<1>
18,GLOBAL,stringMerge,exit,<1>
19,GLOBAL,StringMerge.c,exit,<0>
20,GLOBAL,stringMerge,strcmp,buffer1-55,buffer2-55
21,GLOBAL,stringMerge,getlineE,fd1-51,buffer1-51,EXPRESSION
22,GLOBAL,stringMerge,getlineE,fd2-52,buffer2-52,EXPRESSION
23,GLOBAL,stringMerge,getlineE,fd1-57,buffer1-57,EXPRESSION
24,GLOBAL,stringMerge,getlineE,fd2-60,buffer2-60,EXPRESSION
25,GLOBAL,stringMerge,getlineE,fd1-67,buffer1-67,EXPRESSION
26,GLOBAL,stringMerge,getlineE,fd2-73,buffer2-73,EXPRESSION
27,GLOBAL,StringMerge.c,stringMerge,argv[1]-89,argv[2]-89,argv[3]-89
